VOCAB|BASEFORM|PHONGL|GRCLASSGL|STYLGL|DEF|ANTI|LEGLEXAM
-с|||Присоединяется к словам|!     для придания речи оттенка подобострастия, вежливости|+||Разрешите посмотреть документ? - Извольте-с. Чего изволите-с? (что вам угодно?).
-с|||Присоединяется к словам|иногда для придания речи оттенка подобострастия, вежливости, а также     для придания речи оттенка иронического|+||Ну-с, рассказывайте, что у вас тут произошло.
-тка|||||== -ка N1||Погляди-тка сюда. Ну-тка, попробуй.
-то||||Употр. для выделения, подчеркивания.|+||Ночь-то какая теплая! Читать-то читал, да ничего не понял. Где-то он сейчас? Как-то ему там живется?
-то|||Употр. после местоименных слов|Употр. вместо конкретного указания на перечисляемые предметы, действия или признаки.|+||Запиши: не явился тот-то и тот-то. Рассказывает: был там-то и там-то, делал то-то и то-то, встречался с такими-то и такими-то людьми.
а|1||Соединяет предложения или члены предложений,|выражая противопоставление, сопоставление.|+||Он поехал, а я остался. Пиши пером, а не карандашом. Красив, а не умен.
а|1||Употр. в начале вопросительных и восклицательных предложений, а также в начале речи|часто в сочетании с местоимениями, наречиями, другими союзами    Употр. для усиления выразительности, убедительности|+||А как нам будет весело! А все-таки я не согласен.
а|1||присоединяет предложения или члены предложения|со значением добавления чего-нибудь при последовательном изложении, пояснения, возражения, усиления, перехода к другой мысли|+||На горе дом, а под горой ручей. Было бы болото, а черти найдутся (посл.). Что ты сегодня делаешь? а завтра? Он не виноват.- А кто же виноват, если не он?
а|2|||Обозначает вопрос или отклик на чьи-нибудь слова.|+||Пойдем гулять, а? Почему ты не отвечаешь? - А? Что такое?
а|2||Усиливает обращение.||+||Ваня, а Ваня!
а|3|||Выражает удовлетворенное понимание.|+||Почему ты не звонил? - Не работал телефон.- А!
а|3|||!     Выражает досаду, горечь|+||Что я наделал? - А - а! А, так это вы были! А, попался!
а|3|||выражает досаду, горечь, а также     Выражает удивление, злорадство и другие подобные чувства.|+||Что я наделал? - А - а! А, так это вы были! А, попался!
а...|||Образует существительные и прилагательные|(в словах с иноязычным корнем)    со знач. отсутствия|== не||асимметрия, алогичный, аморальный, аритмичный, асинхронный.
абажур|||||колпак для лампы, светильника||Зеленый а.
аббат|||||католический священнослужитель||
аббат|||||настоятель мужского католического монастыря||
аббатиса|||||настоятельница женского католического монастыря||
аббатство|||||католический монастырь||
